country,life_exp,health_exp,gdp_pc
Australia,82.9,5529.19,55194.76
Austria,81.9,5263.39,49885.99
Belgium,82.0,5033.17,46716.62
Canada,82.16,5103.84,46352.87
Chile,80.32,1348.99,14495.72
Colombia,76.79,503.53,6472.55
Costa Rica,80.3,930.44,12884.69
Czechia,79.23,1805.44,24062.72
Denmark,81.45,6058.83,59404.27
Estonia,78.65,1599.35,24021.25
Finland,81.98,4459.93,48358.18
France,82.83,4508.76,40408.28
Germany,81.29,5488.54,47656.2
Greece,81.64,1569.03,19335.36
Hungary,76.32,1054.28,17012.86
Iceland,83.16,5912.01,69296.31
Ireland,82.7,5462.73,81827.67
Israel,82.8,3335.25,44250.63
Italy,83.5,2910.65,33812.79
Japan,84.36,4431.3,40415.96
"Korea, Rep.",83.23,2592.48,33826.94
Latvia,75.39,1183.12,17294.98
Lithuania,76.28,1369.98,19608.79
Luxembourg,82.64,6221.74,112696.65
Mexico,74.53,549.73,10369.56
Netherlands,82.11,5340.61,53554.9
New Zealand,82.06,4059.06,42855.83
Norway,82.96,8007.36,76430.59
Poland,77.9,1014.04,15874.52
Portugal,81.68,2221.73,23343.36
Slovak Republic,77.67,1342.08,19406.06
Slovenia,81.53,2219.1,25814.17
Spain,83.83,2713.62,29786.52
Sweden,83.11,5652.99,51648.99
Switzerland,83.9,9646.91,84121.93
Turkiye,77.74,388.67,9395.23
United Kingdom,81.37,4258.63,43158.74
United States,78.79,10546.01,64746.45
